1,22,27,31,57,62,64,Ideology,Group,Website
,Apache,,,,,,Holocaust Denial,Reporter's notebook,http://www.reportersnotebook.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Maryland National Socialist Party,http://mdnaziparty.blogspot.com/
WordPress,Apache,PHP,,,,,White Nationalist,Northwest Front,http://northwestfront.org/
Drupal,Apache,PHP,,,,,Anti-Immigrant,Colorado Alliance for Immigration Reform,http://www.cairco.org/
,Apache,,,,,,Anti-LGBT,Family Research Council,https://www.frc.org/
,,,,,,,Hate Music & Neo-Nazi,Hostile Class Productions,https://www.facebook.com/hostile.class
GoDaddy Website Builder,,,,,,,Anti-Immigrant,National Coalition for Immigration Reform,http://www.nciraction.org/
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,https://www.facebook.com/disarmnever/
GoDaddy Website Builder,,,,,,,Black Nationalist,New Black Panther Party,https://nbpp.org/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Stalhelm Records,https://www.hugedomains.com/domain_profile.cfm?d=stahlhelmrecords&e=com
,,,,,,,Hate Music & Neo-Nazi,Stalhelm Records,https://www.facebook.com/northerndestroyer
Weebly,Apache,PHP,,,,,Hate Music & Neo-Nazi,Florida United ,http://floridaunited.weebly.com/
WordPress,Apache,PHP,,,,,Anti-LGBT,Stedfast Baptist Church (TX),https://stedfastbaptistkjv.org/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Werewolf 88,http://werwolf88radio.blogspot.com/
GoDaddy Website Builder,Apache,,,,,,General Hate,Concerned Citizens and Friends of Illegal Immigration Law Enforcement,http://www.ccfiile.com/
,Apache,,,,,,White Nationalist,Social Contract Press,http://www.thesocialcontract.com/
,OpenGSE,"Python, Java",,,,,Anti-Muslim,Sultan Knish a blog by Daniel Greenfield,http://www.danielgreenfield.org/
,Nginx,,,,,Nginx,Anti-Muslim,Treasure Valley Refugee Watch,http://www.treasurevalleyrefugeefacts.org/
WordPress,Nginx,PHP,,,Automattic,Nginx,Neo-Confederate,Shotgun Barrel Straight ,https://shotgunwildatheart.wordpress.com/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Hate Crime Streetwear/Records,http://www.hcstreetwear.net/shop/
,IIS,,,,,,Hate Music & Neo-Nazi,Aryan Strikeforce,http://www.aryanstrikeforce318.org/
WordPress,Nginx,PHP,,,Automattic,Nginx,Neo-Confederate,Association for Appalachia,https://appalachianrepublic.wordpress.com/
,Apache,,,,,,General Hate,Power of Prophecy,https://www.texemarrs.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Aryan Nations - Louisiana ,http://www.aryan-nations.org/
,Apache,,,,,,Hate Music & Neo-Nazi,White Aryan Resistance,http://www.resist.com/
WordPress,Apache,PHP,,,,,Holocaust Denial,The Realist Report,http://therealistreport.com/
MyWebsite,Apache,,,,,,Black Nationalist,Nation of Islam,http://www.noicharlestonsc.org/
,Apache,,,,,,General Hate,Official Street Preachers,https://www.officialstreetpreachers.com/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,http://www.angelfire.com/indie/unitedriotrecords/frameset.html
,Apache,,,,,,Anti-LGBT,Save California,http://www.savecalifornia.com/
,Apache,,,,,,Rad Catholics,"Fatima Crusader, The/International Fatima Rosary Crusade",http://www.fatimacrusader.com/
,,,,,,,Hate Music & Neo-Nazi,Darkness Attacks Records,https://officialblackwitchery.bigcartel.com/
,OpenGSE,"Python, Java",,,,,Anti-Muslim,Citizen Warrior,http://www.citizenwarrior.com/
Drupal,Nginx,PHP,jsDelivr,,Pantheon,Nginx,Anti-LGBT,Alliance Defending Freedom,https://www.adflegal.org/
,Nginx,PHP,,,,Nginx,Anti-Immigrant,Americans for Legal Immigration (ALIPAC),https://www.alipac.us/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://muhammadmosque69.blogspot.com/
,,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,https://www.facebook.com/natallreform/
GoDaddy Website Builder,,,,,,,Hate Music & Neo-Nazi,Aryan Nation-Sadistic Souls Skinheads/Black & Silver Solution,https://www.sadisticsoulsmc.org/
,,,,,,,Hate Music & Neo-Nazi,Vanguard Productions,https://www.facebook.com/VanguardProdVinland/
,,,Cloudflare,,,,Neo-Confederate,Kentucky League of the South,https://kentuckyleagueofthesouth.webs.com/
WordPress,,PHP,Cloudflare,,,,KKK,Traditionalist American Knights of the Ku Klux Klan,http://traditionalistamericanknights.com/
,,PHP,Cloudflare,,,,Holocaust Denial,Inconvenient Truth,http://www.inconvenienthistory.com/
,Nginx,,,,,Nginx,Christian Identity,Scriptures for America Worldwide Ministries - international outreach ministry of the LaPorte Church of Christ,http://www.scripturesforamerica.org/
,IIS,,,,,,General Hate,Chick Publications,https://www.chick.com/
,Apache Traffic Server,,,,,,Hate Music & Neo-Nazi,Hells Headbangers,http://www.hellsheadbangers.com/
,IIS,CFML,Cloudflare,,,,Anti-Muslim,Pig Blood Bullets,https://www.hugedomains.com/domain_profile.cfm?d=pigbloodbullets&e=com
,OpenGSE,"Python, Java",,,,,Neo-Confederate,Free North Carolina,https://freenorthcarolina.blogspot.com/
,Apache Traffic Server,,,,,,General Hate,Cultural Studies Press,http://www.culturalstudiespress.com/
WordPress,"Nginx, OpenResty","PHP, Lua",,,,Nginx,Hate Music & Neo-Nazi,National Alliance,https://natall.com/
,Apache,,,,,,Anti-LGBT,True Light Pentecost Church (SC),http://www.truelightpentecost.org/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Parasitic Records,http://midnightbloodentertainment.blogspot.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Occidental Dissent,http://www.occidentaldissent.com/
,Apache,,,,,,White Nationalist,Center for Perpetual Diversity,http://www.perpetualdiversity.com/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,http://www.nwnprod.com/forum/viewforum.php?f=2
WordPress,Nginx,PHP,,,Automattic,Nginx,Hate Music & Neo-Nazi,"Golden Dawn - Astoria, NY",https://xaameriki.wordpress.com/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,NS88 Video Division,http://www.ns88.com/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,League of the South,https://leagueofthesouth.com/
,Apache,,,,,,General Hate,a2z Publications,http://www.a2zpublications.com/
WordPress,,PHP,Cloudflare,,SiteGround,,White Nationalist,Identity Evropa,https://www.identityevropa.com/
,Apache,,,,,,Anti-LGBT,Faithful Word Baptist Church (AZ),http://www.faithfulwordbaptist.org/
Business Catalyst,"Nginx, OpenResty",Lua,,,,Nginx,Anti-LGBT,Ruth Institute,http://www.ruthinstitute.org/
,IIS,,,,,,KKK,International Keystone Knights of the Ku Klux Klan,http://www.ikkkkk.org/
,Apache,,,,,,Anti-Immigrant,New Yorkers for Immigration Control and Enforcement,http://www.nyice.us/
,Apache,,,,,,Christian Identity,Kingdom Identity Ministries,http://www.kingidentity.com/
,IIS,,,,,,General Hate,Tony Alamo Christian Ministries,http://www.alamoministries.com/content/english/
,,,,,,,KKK,Georgia Knight Riders,https://www.georgiaknightriderskkk.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Nuclear War Now Productions,https://nuclearwarnowproductions.bandcamp.com/
WordPress,Apache,PHP,,,,,Anti-Muslim,Lincoln County Citizen Action Network,http://lincolncountycan.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Desastrious Records,http://desastrious.blogspot.com/
,,,,,,,Hate Music & Neo-Nazi,Death Oracle Productions,https://www.facebook.com/Death-Oracle-Productions-759295887436602/
WordPress,,PHP,Cloudflare,,,,Black Nationalist,Nation of Islam,https://www.noi.org/
WordPress,Apache,PHP,,,,,White Nationalist,Forza Nuova,http://www.usa.forzanuova.info/
GoDaddy Website Builder,,,,,,,KKK,United Klans of America,http://www.theuka.us/
,"Nginx, Microsoft HTTPAPI",,,,,Nginx,KKK,United White Knights of the Ku Kiux Klan,http://www.texaskkk.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,http://www.nwnprod.com/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Movement,http://creativitymovement.net/forum/
,Apache,,,,,,Christian Identity,Yahushua DSCI Ministry,http://www.yahushuadsciministry.us/
,,,,,,,Neo-Confederate,Southern Future,https://southernfuture.com/
,,,,,,,White Nationalist,American Vanguard,https://american-vanguard.org/
,Apache,,,,,,Holocaust Denial,Focal Point Publications,http://www.fpp.co.uk/
,Nginx,,,,,Nginx,Holocaust Denial,The End of Zion ,https://theendofzion.com/
,Apache,,,,,,Black Nationalist,All Eyes On Egypt Bookstore,http://www.aeoebookstore.com/
WordPress,Apache,PHP,,,,,KKK,Soldiers Of the Cross Training Institute,http://sotctraininginstitute.com/
,Apache,,,,,,Anti-LGBT,"Providence Road Baptist Church, NC",http://www.prbcnc.com/
,,,,,,,Hate Music & Neo-Nazi,Hells Headbangers,https://www.facebook.com/hellsheadbangers
,,,,,,,Hate Music & Neo-Nazi,NSM88 Records,http://nsm88records.com/theshop/
,Apache,,,,,,Black Nationalist,All Eyes On Egipt Bookstore Brooklyn NY,http://www.aeoebookstore.com/
,,,,,,,Christian Identity,The Christian Identity Forum,http://www.thechristianidentityforum.net/
,Apache,,,,,,Black Nationalist,Nation of Islam,http://muhammadmosque8.com/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://www.noirockford.com/
,,,,,,,Anti-Muslim,Family Security Matters,http://www.familysecuritymatters.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,Occidental Dissent,http://www.occidentaldissent.com/
,,,,,,,Neo-Confederate,The Right Voice,http://www.therightvoice.net/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,OSI Temple,http://osi-temple.blogspot.com/
,"Phusion Passenger, Apache",,,,,,Hate Music & Neo-Nazi,Punishment Block Records,http://punishmentblockrecords.limitedrun.com/
Wix,,,,,,,Black Nationalist,Nation of Islam,http://www.mosque36.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,KKK,White Knights of Justice,https://whiteknightsofjustice.wordpress.com/
,Apache,,,,,,Hate Music & Neo-Nazi,NS Publications,http://nspublications.com/
,,,Cloudflare,,,,KKK,East Coast Knights,https://www.eastcoastknightsofthetrueinvisibleempire.com/
,,,,,,,Hate Music & Neo-Nazi,White Aryan Resistance,http://www.resistance88.com/index1.htm#.Vv1YzJwrLIU
,Apache,PHP,,,,,Anti-LGBT,Faith2Action,http://www.f2a.org/
Joomla,Apache,PHP,,,,,General Hate,"Brother Nathanael Foundation, The",http://brothernathanaelfoundation.org/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,https://unitedriotrecords.bigcartel.com/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html
WordPress,Nginx,PHP,,,,Nginx,Holocaust Denial,Germar Rudolf,http://germarrudolf.com/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,https://www.facebook.com/unitedriotrecords/
,IIS,,,,,,General Hate,Jewish Defense League,http://www.jdl.org/
WordPress,Apache,PHP,,,,,Anti-LGBT,Family Research Institute,http://www.familyresearchinst.org/
,IIS,,,,,,Christian Identity,Divine International Church of the Web,https://www.revandrewangel.com/site/index.html
Wix,Nginx,,,,,Nginx,Anti-Immigrant,Immigration Reform Law Institute,https://www.irli.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,CCC,http://conservative-headlines.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,nan,http://www.aryanblood.net/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Parasitic Records,http://parasiticrecords.blogspot.com/
,,,,,,,White Nationalist,Foundation for the Marketplace of Ideas,http://www.freedomfront.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,ISD Records,http://www.isdrecords.com/
,Apache,,,,,,Christian Identity,Our Place Fellowship,http://www.sonplace.com/Our_Place/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,http://whitenationalists.com/
WordPress,Apache,PHP,,,,,KKK,Knights of the KKK,http://kkk.bz/
,Apache,,,,,,Christian Identity,Virginia Publishing Company,http://www.richardhoskins.com/
WordPress,LiteSpeed,PHP,,,,,White Nationalist,BUGS,http://www.whitakeronline.org/blog/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://www.noigrandrapids.com/
Wix,,,,,,,Black Nationalist,Nation of Islam,https://noiwinstonsalem.wixsite.com/wsstudygroup/services
,,,Cloudflare,,,,Black Nationalist,Uncle Sams Misguided Children,https://unclesamsmisguidedchildren.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,United Riot Records,http://unitedriotrecords.blogspot.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Vanguard Productions,http://vanguard-productions.com/home/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,Soleil Moon Records,https://www.soleilmoon.com/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,nan,http://www.thephora.net/forum/
WordPress,Apache,PHP,,,,,Christian Identity,The Watchman files,http://thewatermanfiles.com/
,,,,,,,Black Nationalist,Sicarii 1715,http://www.exodus1715.info/
,Nginx,,,,,Nginx,White Nationalist,Radix,https://radixjournal.com/
WordPress,Apache,PHP,,,,,Rad Catholics,In the Spirit of Chartres Committee,https://isoc.ws/
,Nginx,,Sucuri,,,Nginx,Black Nationalist,Nation of Islam,https://noihouston.org/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://noidetroit.org/
,OpenGSE,Java,,,,,KKK,United Dixie White Knights,https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/SiteDisabled?disabledSite%3Ddefaultdomain/uniteddixiewhiteknights&followup=https://sites.google.com/site/sites/system/errors/SiteDisabled?disabledSite%3Ddefaultdomain/uniteddixiewhiteknights
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,https://noirochester.org/
WordPress,Apache,PHP,,,,,Christian Identity,Anglo-Saxon Israel,https://anglo-saxonisrael.com/
WordPress,Apache,PHP,,,,,White Nationalist,American Freedom Union,http://www.americanfreedomunion.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
Drupal,,PHP,Cloudflare,,,,Christian Identity,Christogenea,https://christogenea.org/
,Apache,PHP,,,,,General Hate,Rense Radio Network,https://www.renseradio.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,American Front,http://ww38.americanfront.org/
,IIS,,,,,,Hate Music & Neo-Nazi,Aryan Strikeforce,http://www.aryanstrikeforce318.org/
,Apache,,,,,,Hate Music & Neo-Nazi,nan,https://whitenations.com/
,Apache,,,,,,Christian Identity,National Prayer Network,https://truthtellers.org/
,IIS,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,http://www.narrg.com/
,Apache,,,,,,Rad Catholics,Slaves of the Immaculate Heart of Mary,https://catholicism.org/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,Tightrope Records,https://tightroperecords.com/catalog/
WordPress,Apache,PHP,,,,,Christian Identity,David James Boston,https://davidjamesboston.com/
,,,,,,,Holocaust Denial,Gilad Atzmon,https://gilad.online/
,Apache,,,,,,Holocaust Denial,Andrew Carrington Hitchcock,https://andrewcarringtonhitchcock.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Political Cesspool,https://www.thepoliticalcesspool.org/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
WordPress,Apache,PHP,,,,,Neo-Confederate,Dixie Outfitters,http://dixieoutfitters.com/pages/blog/category/news/interesting-email/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,League of the South,https://leagueofthesouth.com/
,OpenGSE,Java,,,,,Hate Music & Neo-Nazi,Werewolf 88,https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/SiteDisabled?disabledSite%3Ddefaultdomain/werwolfeightyeight&followup=https://sites.google.com/site/sites/system/errors/SiteDisabled?disabledSite%3Ddefaultdomain/werwolfeightyeight
WordPress,,PHP,Cloudflare,,,,White Nationalist,Counter-Currents,https://www.counter-currents.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
WordPress,Apache,PHP,,,,,KKK,Loyal White Knights of the Ku Klux Klan,https://lwkkkk.com/wp/
,OpenGSE,Java,,,,,White Nationalist,Alternative Right,http://alternative-right.blogspot.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://aryanterrorbrigade.tumblr.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Stalhelm Records,http://stahlhelmrecords.tumblr.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
,,,,,,,Hate Music & Neo-Nazi,Antipathy Records,http://www.antipathyrecords.com/
,,,,,,,Hate Music & Neo-Nazi,Hooligan Street Merch,http://www.hooliganstreetmerch.com/
,,,,,,,KKK,White Knights of the Ku Klux Klan of America,https://www.whiteknightsofthekukluxklanofamerica.com/
,,,,,,,Hate Music & Neo-Nazi,nan,http://www.awsnetwork.org
,,,,,,,Black Nationalist,Nation of Islam,http://www.noimosque32.com/
,,,,,,,KKK,Original Knight Riders Knights of the Ku Klux Klan,https://www.originalknightriders.net/
,,,,,,,Black Nationalist,Nation of Islam,http://mm29.org/
,,,,,,,KKK,Patriotic Brigade Knights of the Ku Klux Klan,http://www.knightskkk.net/
,,,,,,,Hate Music & Neo-Nazi,Keystone United/Keystone State Skinheads,http://myforum.kss2001.com/
,,,,,,,White Nationalist,Traditionalist Worker Party,http://www.tradworker.org/
,,,,,,,Holocaust Denial,A light on Campus,http://www.alightoncampus.com
,,,,,,,White Nationalist,American Eagle Party,http://americaneagleparty.com/
,,,,,,,Black Nationalist,Nation of Islam,http://www.mosque34.org/
,,,,,,,Black Nationalist,Nation of Islam,https://muhammadmosque7c.org/
,,,,,,,KKK,International Keystone Knights of the Ku Klux Klan,http://www.ikkkkk.org/
,,,,,,,Hate Music & Neo-Nazi,Stomp Out Child Abuse Compilation,http://www.chesterstomp.com/store.html
,,,,,,,Black Nationalist,Nation of Islam,http://noibuffalo.org/
,,,,,,,Christian Identity,Divine Truth Ministries,http://divine-truth.org/
,,,,,,,General Hate,Jewish Defense League,http://www.jdl.org/
,,,,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation website,http://hammerskins.net/
,,,,,,,KKK,Knights of the White Disciples,http://www.knightsofthewhitedisciples.com
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Resistance Records,http://www.resistancerecords.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://www.atb318.com/
,,,,,,,Black Nationalist,Nation of Islam,http://www.pghmosque22.org/
,,,,,,,General Hate,Invictus Books,http://stores.invictusbooks.com/
,,,,,,,Black Nationalist,Nation of Islam,http://www.noidallas.org/
,,,,,,,General Hate,As-Sabiqun,http://sabiqun.org/
,,,,,,,General Hate,Christian Anti-Defamation Commission,http://www.defendchristians.org/
,,,,,,,KKK,Church of the National Knights of the Ku Klux Klan,http://www.cnkkkk.net/
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/forum/
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/
,,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,http://americanvikings.us
,"Nginx, OpenResty",Lua,,,,Nginx,Rad Catholics,Catholic Counterpoint,http://www.catholiccounterpoint.com/
,Apache Traffic Server,,,,,,Hate Music & Neo-Nazi,Hells Headbangers,http://www.hellsheadbangers.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Never Surrender Records,https://neversurrenderrecords.com/
,,,,,,,Neo-Confederate,Florida Fire Eater,https://floridafireeater.com/
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,http://www.bulldogaggression.com/
,,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,http://radiowhite.net/
,,,,,,,KKK,Nordic Order Knights,http://www.nok311.com/
,,,,,,,Hate Music & Neo-Nazi,National Socialist Freedom Movement,https://nsfm.sharepoint.com/Pages/default.aspx
,,,,,,,KKK,Mississippi White Kngihts,http://mississippiwhiteknights.com/firstpage.htm
,,,,,,,Hate Music & Neo-Nazi,Battalion 14,http://www.b14usa.org/
,,,,,,,Rad Catholics,"Catholic Family News/Catholic Family Ministries, Inc.",http://www.cfnews.org/
,Apache,,,,,,Christian Identity,Yahweh's Truth,http://www.jameswickstrom.com/cgi-sys/suspendedpage.cgi
,,,,,,,Hate Music & Neo-Nazi,White Aryan Resistance,http://www.resistance88.com/index1.htm#.Vv1YzJwrLIU
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Parasitic Records,http://midnightbloodentertainment.blogspot.com/
,Phusion Passenger,,Cloudflare,,,,Hate Music & Neo-Nazi,Behold Barbarity,http://beholdbarbarity.storenvy.com/
,,,,,,,Hate Music & Neo-Nazi,Resistance Records,http://www.resistance.com/site/
,,,,,,,Black Nationalist,War On The Horizon,http://waronthehorizon.com/
,,,,,,,Hate Music & Neo-Nazi,Aryan Nation-Sadistic Souls MC/Black & Silver Solution,https://www.facebook.com/Sadistic-Souls-MC-792247310797582/
,,,,,,,Hate Music & Neo-Nazi,Parasitic Records,https://www.facebook.com/Parasitic666Records/
,Nginx,,,,,Nginx,Black Nationalist,All Eyes on Egipt Bookstore,http://www.thenationspeaks.org/
,Apache,,,,,,Rad Catholics,IHS Press,http://www.ihspress.com/index1.htm
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Iron Clad Records,http://www.ironcladrecords.com/
,IIS,,,,,,Rad Catholics,OMNI Christian Book Club,http://www.omnicbc.com/
,Apache,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,https://www.americanvikings.com/
,Apache,,,,,,Rad Catholics,"Fatima Crusader, The/International Fatima Rosary Crusade",http://www.fatimacrusader.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,http://muhammadstemple12.faithweb.com/
,Nginx,,,,,Nginx,Holocaust Denial,Campaign for Radical Truth in History,https://www.revisionisthistory.org/
,Apache,,,,,,Christian Identity,Our Place Fellowship,http://www.sonplace.com/Our_Place/
,Apache,,,,,,White Nationalist,Scott-Townsend Publishers,http://www.scott-townsend.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Get Some 88,http://www.getsome88.com/
WordPress,Apache,PHP,,,,,White Nationalist,Forza Nuova,http://www.usa.forzanuova.info/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,Label 56,http://www.label56.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,http://muhammadmosque8.com/
,Apache,,,,,,Christian Identity,Church of Israel,http://www.churchofisrael.org/
,Apache,,,,,,Hate Music & Neo-Nazi,NS Publications,http://nspublications.com/
,,,,,,,Black Nationalist,Nation of Islam,http://shondelenterprise.wix.com/mosque-97#!contact
,Apache,,,,,,White Nationalist,Center for Perpetual Diversity,http://www.perpetualdiversity.com/
,,,,,,,Hate Music & Neo-Nazi,Parasitic Records,http://parasiticrecords.bigcartel.com/
,Apache,,,,,,Christian Identity,Covenant People's Ministry,http://www.covenantpeoplesministry.org/
,Apache,,,,,,General Hate,Aggressive Christianity,http://www.aggressivechristianity.net/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://www.noirockford.com/
,IIS,,,,,,General Hate,Tony Alamo Christian Ministries,http://www.alamoministries.com/content/english/
Wix,,,,,,,Black Nationalist,Nation of Islam,https://noiwinstonsalem.wixsite.com/wsstudygroup/services
,"Nginx, OpenResty",Lua,,,,Nginx,KKK,United Northern and Southern Knights of the Ku Klux Klan,http://ww7.unskkkk.com/
,Apache,,,,,,Holocaust Denial,Irving Books,https://irvingbooks.com/xcart/home.php
Joomla,,PHP,"jsDelivr, Cloudflare",,,,Rad Catholics,"Remnant, The/The Remnant Press",https://remnantnewspaper.com/web/index.php
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,http://www.nwnprod.com/forum/viewforum.php?f=2
,Apache,,,,,,Christian Identity,Virginia Publishing Company,http://www.richardhoskins.com/
,Apache,,,,,,Holocaust Denial,Reporter's notebook,http://www.reportersnotebook.com/
,,,,,,,Hate Music & Neo-Nazi,Label 56,https://www.facebook.com/Label-56-LLC-577266465630487/
WordPress,Nginx,PHP,,,SiteGround,Nginx,General Hate,Sharkhunters International,https://sharkhunters.com/
,,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.facebook.com/micetrap
,,,,,,,Black Nationalist,Nation Of Islam,http://stocktonnoi.wix.com/info#!__stockton---nation-of-islam/contact
,,,,,,,Hate Music & Neo-Nazi,Death Oracle Productions,https://www.facebook.com/Death-Oracle-Productions-759295887436602/
,,,,,,,Hate Music & Neo-Nazi,Gallows Tree Wotanvolk Alliance,https://www.facebook.com/gallowstreewotansvolk/
Drupal,Apache,PHP,,,,,Christian Identity,Fellowship of God's Covenant People,http://fgcp.org/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Stalhelm Records,https://www.hugedomains.com/domain_profile.cfm?d=stahlhelmrecords&e=com
,Apache,,,,,,General Hate,National Prayer Network,https://truthtellers.org/index.html
,,PHP,Cloudflare,,,,KKK,Rebel Brigade Knights of the Ku Klux Klan,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com
,Apache,,,,,,Black Nationalist,Nation of Islam,https://wildcard.hostgator.com/
,IIS,,,,,,General Hate,Chick Publications,https://www.chick.com/
GoDaddy Website Builder,,,,,,,General Hate,Holy Nation of Odin,https://sonsofodin1519.org/
,Apache,,,,,,General Hate,Power of Prophecy,https://www.texemarrs.com/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html
WordPress,,PHP,Cloudflare,,Flywheel,,General Hate,Sons of Liberty Media (formerly You Can Run But You Cannot Hide),https://sonsoflibertymedia.com/
,Apache,,,,,,Christian Identity,Kingdom Identity Ministries,http://www.kingidentity.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,http://whitenationalists.com/
,Apache,,,,,,Black Nationalist,All Eyes On Egypt Bookstore,http://www.aeoebookstore.com/
,,,Cloudflare,,,,Holocaust Denial,Righteous Jews,https://www.righteousjews.org/
Wix,,,,,,,Black Nationalist,Nation of Islam,http://www.mosque36.com/
,IIS,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://v1.noi.org/reg_western_region.htm
,Apache,,,,,,Christian Identity,Mission to Israel ,https://www.missiontoisrael.org/
WordPress,Apache,PHP,,,,,Christian Identity,Christian Identity Church,http://christianidentitychurch.net/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,https://www.facebook.com/unitedriotrecords/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Alliance,https://creativityalliance.com/
,LiteSpeed,,,,,,Hate Music & Neo-Nazi,New Order,https://www.theneworder.org/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://mosque74.org/
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,https://www.facebook.com/disarmnever/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
